	question	candidate1	candidate2	candidate3	candidate4	answer
0	enormously	appropriately	uniquely	tremendously	decidedly	tremendously
1	provision	stipulation	interrelation	jurisdiction	interpretation	stipulation
2	haphazardly	dangerously	densely	randomly	linearly	randomly
3	prominent	battered	ancient	mysterious	conspicuous	conspicuous
4	zenith	completion	pinnacle	outset	decline	pinnacle
5	flawed	tiny	imperfect	lustrous	crude	imperfect
6	urgently	typically	conceivably	tentatively	desperately	desperately
7	consume	breed	catch	eat	supply	eat
8	advent	coming	arrest	financing	stability	coming
9	concisely	powerfully	positively	freely	succinctly	succinctly
10	salute	information	ceremony	greeting	privilege	greeting
11	solitary	alert	restless	alone	fearless	alone
12	hasten	permit	determine	accelerate	accompany	accelerate
13	perseverance	endurance	skill	generosity	disturbance	endurance
14	fanciful	familiar	imaginative	apparent	logical	imaginative
15	show	demonstrate	publish	repeat	postpone	demonstrate
16	constantly	instantly	continually	rapidly	accidentally	continually
17	issue	training	salary	subject	benefit	subject
18	furnish	supply	impress	protect	advise	supply
19	costly	expensive	beautiful	popular	complicated	expensive
20	recognized	successful	depicted	acknowledged	welcomed	acknowledged
21	spot	climate	latitude	sea	location	location
22	make	earn	print	trade	borrow	earn
23	often	definitely	frequently	chemically	hardly	frequently
24	easygoing	frontier	boring	farming	relaxed	relaxed
25	debate	war	argument	election	competition	argument
26	narrow	clear	freezing	thin	poisonous	thin
27	arrange	plan	explain	study	discard	plan
28	infinite	limitless	relative	unusual	structural	limitless
29	showy	striking	prickly	entertaining	incidental	striking
30	levy	impose	believe	request	correlate	impose
31	deftly	skillfully	prudently	occasionally	humorously	skillfully
32	distribute	commercialize	circulate	research	acknowledge	circulate
33	discrepancy	weight	deposit	wavelength	difference	difference
34	prolific	productive	serious	capable	promising	productive
35	unmatched	unrecognized	unequaled	alienated	emulated	unequaled
36	peculiarly	partly	uniquely	patriotically	suspiciously	uniquely
37	hue	glare	contrast	colour	scent	colour
38	hind	curved	muscular	hairy	rear	rear
39	highlight	alter	imitate	accentuate	restore	accentuate
40	hastily	hurriedly	shrewdly	habitually	chronologically	hurriedly
41	temperate	cold	mild	short	windy	mild
42	grin	exercise	rest	joke	smile	smile
43	verbally	orally	overtly	fittingly	verbosely	orally
44	physician	chemist	pharmacist	nurse	doctor	doctor
45	essentially	possibly	eagerly	basically	ordinarily	basically
46	keen	useful	simple	famous	sharp	sharp
47	situated	rotating	isolated	empty	positioned	positioned
48	principal	most	numerous	major	exceptional	major
49	slowly	rarely	gradually	effectively	continuously	gradually
50	build	construct	propose	finance	organize	construct
51	task	customer	material	shop	job	job
52	unlikely	improbable	disagreeable	different	unpopular	improbable
53	halfheartedly	customarily	bipartisanly	apathetically	unconventionally	apathetically
54	annals	home	trail	chronicle	song	chronicle
55	wildly	distinctively	mysteriously	abruptly	furiously	furiously
56	hailed	judged	acclaimed	remembered	addressed	acclaimed
57	command	observation	love	awareness	mastery	mastery
58	concoct	devise	clean	request	supervise	devise
59	prospective	particular	prudent	potential	prominent	potential
60	generally	descriptively	broadly	controversially	accurately	broadly
61	sustain	prolong	refine	lower	analyse	prolong
62	perilous	binding	exciting	offensive	dangerous	dangerous
63	tranquillity	peacefulness	harshness	weariness	happiness	peacefulness
64	dissipate	disperse	isolate	disguise	photograph	disperse
65	primarily	occasionally	cautiously	consistently	chiefly	chiefly
66	colloquial	recorded	misunderstood	incorrect	conversational	conversational
67	resolve	publicize	forget	settle	examine	settle
68	feasible	permitted	possible	equitable	evident	possible
69	expeditiously	frequently	actually	rapidly	repeatedly	rapidly
70	percentage	volume	sample	proportion	profit	proportion
71	terminate	end	pose	postpone	evaluate	end
72	uniform	hard	complex	alike	sharp	alike
73	figure	list	solve	divide	express	solve
74	sufficient	recent	physiological	enough	valuable	enough
75	fashion	ration	fathom	craze	manner	manner
76	market	freeze	sell	sweeten	dilute	sell
77	big	steady	close	large	good	large
78	root	origin	ritual	cure	function	origin
79	normally	haltingly	ordinarily	permanently	periodically	ordinarily
